Team	Event	Venue	Weekend
2012 - 10U	Shamrock Classic	Mount Vernon, OH, USA	03/18 - 03/20
2009 - 12U	Hall Of Fame Indoor Tournament	Canton, OH, USA	04/01 - 04/03
2009 - 12U	Ytown Mayhem	Hubbard, OH, USA	04/22 - 04/24
2012 - 10U	Racers Early Bird Tournament	Rootstown, OH, USA	05/06 - 05/08
2007 - 14U	Racers Fastpitch Early Bird Tournament	Rootstown, OH, USA	05/06 - 05/08
2012 - 10U	Choose Joy Tournament	Canfield, OH, USA	05/13 - 05/15
2012 - 10U	Ohio Spring Fever	Stow, OH, USA	05/20 - 05/22
2007 - 14U	5th Annual Memorial Classic	North Ridgeville, OH, USA	05/27 - 05/29
2007 - 14U	Tallmadge T-Town Showdown	Tallmadge, OH, USA	06/03 - 06/05
2012 - 10U	Mapleleaf Classic	Streetsboro, OH, USA	06/03 - 06/05
2007 - 14U	Battle At Barlow	Hudson, OH, USA	06/10 - 06/12
2012 - 10U	Father’s Day Win Some Bling Tournament	Youngstown, OH, USA	06/17 - 06/19
2007 - 14U	Father's Day Blast	Canfield, Ohio, USA	06/17 - 06/19
2007 - 14U	Apple Pie Charity	Gnadenhutten, OH, USA	07/01 - 07/03
2007 - 14U	Battle In The Burg	Leavittsburg, OH, USA	07/08 - 07/10
2012 - 10U	Cinderella Classic	North Ridgeville, OH, USA	07/08 - 07/10
2007 - 14U	Showdown At J-Town	Jefferson, OH, USA	07/15 - 07/17
2007 - 14U	World Series 14u	Columbus, OH, USA	12/30 - 01/01
2012 - 10U	Hope’s Turn At Bat	Mayfield, Ohio, USA	07/22 - 07/24
